SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;id
0133.93.03.00004648;1.000.000;10832.46;5140
0141.93.03.00002695;27.850.600;1392.53;5200
0141.93.03.00002740;27.850.600;1392.53;5202
0133.93.03.00004641;1.000.000;8355.24;5204
0133.93.03.00004656;540.308.000;27015.4;5215
0141.93.03.00002767;23.400.000;1170;5229
0141.93.03.00002772;23.400.000;1170;5232
0141.93.03.00002768;800.000.000;40000;5235
0141.93.03.00002779;28.000.000;1400;5241
0141.93.03.00002778;27.850.600;1392.53;5245
0141.93.03.00002770;600.000.000;30000;5247
0141.93.03.00002771;27.850.600;1392.53;5249
0141.93.03.00002781;120.000.000;3000;5256
0141.93.03.00002785;21.596.000;2159.58;5268
0153.93.03.00001372;71.803.100;9180.31;5275
0126.93.03.00001017;36.149.200;3614.7;5281
0141.93.03.00002819;40.628.700;3900.1;5294
0133.93.03.00004804;22.500.000;2500;5305
0143.93.03.00001286;65.479.200;5928.32;5308
0129.93.03.00000603;59.025.300;3935.02;5321
0124.81.03.00000036;12.780.400;1278.64;5323
0143.93.03.00001329;204.107.300;14882.18;5327
0135.93.03.00003487;114.491.600;8888.89;5331
0153.93.03.00001437;42.134.500;4213.47;5335
0153.93.03.00001446;89.586.900;6403.99;5340
0143.93.03.00001341;67.391.100;6414.24;5342
0135.93.03.00003544;48.864.500;2886.45;5352
0135.93.03.00003560;346.926.000;23128.4;5357
0143.93.03.00001387;915.376.300;57035;5368
0133.81.03.00000154;15.011.400;1444.31;5380
0126.93.03.00001190;22.553.900;2066.18;5389
0135.93.03.00003707;14.565.300;910.33;5409
0135.93.03.00003751;32.798.200;2733.18;5423
0101.82.03.00000155;10.000.000;3000;5426
0101.93.03.00000465;949.500.000;47475;5444
0153.93.03.00001639;216.162.000;24936.2;5457
0132.93.03.00000391;41.713.400;4171.54;5482
0126.93.03.00001323;21.101.400;2112.09;5513
0124.93.03.00000551;121.512.800;12151.3;5546
0124.93.03.00000499;16.296.300;543.2;5558
0141.93.03.00002345;1.410.000;187.99;5591
0133.93.03.00004962;68.468.500;3423.43;5594
0133.93.03.00005113;553.954.200;55395.4;5606
0126.93.03.00001018;50.734.900;5173.49;5637
0133.93.03.00004705;4.853.800;4853.8;5657
0126.93.03.00001064;;4500;5680
0126.93.03.00000812;11.374.300;568.69;5683
0133.93.03.00004221;48.440.500;692.01;5713
0153.93.03.00001617;58.222.200;5822.2;5716
0131.93.03.00000878;21.876.200;4187.62;5731
0133.93.03.00005941;92.036.200;8366.93;5733
0126.93.03.00001031;21.900.000;2372.5;5741
0126.93.03.00000923;46.918.500;4691.82;5750
0101.81.03.00000165;250.000;2500;5760
0135.93.03.00003027;19.556.200;1928.62;5762
0101.93.03.00000264;742.768.800;76476.88;5767
0126.93.03.00001032;200.000;2000;5771
0142.93.03.00000518;;49290;5791
0143.93.03.00001509;123.654.800;15456.85;5795
0129.93.03.00000752;2.641.100;264.12;5798
0143.93.03.00001486;72.489.000;7248.88;5800
0153.93.03.00001525;79.415.200;3970.76;5802
0142.93.03.00000462;;10250.39;5805
0126.93.03.00001133;43.447.800;7664.78;5807
0126.93.03.00001098;;2000;5810
0126.93.03.00001142;20.661.800;3443.64;5812
0153.93.03.00001568;30.994.200;3099.34;5815
0126.93.03.00001266;300.000;3000;5817
0126.93.03.00001304;366.615.300;43012.1;5819
0135.93.03.00003628;29.571.200;1478.56;5821
0135.93.03.00003650;51.130.600;7113.06;5823
